#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260813    01:18:50       1     50     29     28      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:19:00       1     50     28     27      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:19:10       1     50     28     26      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:19:20       1     50     28     26      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:19:30       1     50     28     26      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:19:40       1     50     27     26      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:19:50       1     50     27     26      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:20:00       1     50     27     25      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:20:10       1     50     27     25      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:20:20       1     50     27     25      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:20:30       1     50     27     25      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:20:40       1     50     27     25      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:20:50       1     50     27     25      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:21:00       1     49     27     25      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:21:10       1     49     27     25      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:21:20       1     49     26     25      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:21:30       1     49     26     25      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:21:40       1     49     26     25      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:21:50       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:22:00       1     49     26     25      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:22:10       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:22:20       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:22:30       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:22:40       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:22:50       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:23:00       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:23:10       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:23:20       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:23:30       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:23:40       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:23:50       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:24:00       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:24:10       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:24:20       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:24:30       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:24:40       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:24:50       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:25:00       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:25:10       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:25:20       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:25:30       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:25:40       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:25:50       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:26:00       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260813    01:26:10       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:26:20       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:26:30       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:26:40       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:26:50       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:27:00       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:27:10       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:27:20       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:27:30       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:27:40       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:27:50       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    01:28:00       1     49     26     24      0      0      0      0      0      0   1593    210      0      1      0 
