#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260813    16:01:37       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:01:47       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:01:57       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:02:07       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:02:18       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:02:28       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:02:38       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:02:48       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:02:58       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:03:08       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:03:18       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:03:28       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:03:38       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:03:48       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:03:58       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:04:08       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:04:18       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:04:28       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:04:38       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:04:48       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:04:58       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:05:08       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:05:18       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:05:28       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:05:38       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:05:48       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:05:58       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:06:08       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:06:18       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:06:28       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:06:38       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:06:48       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:06:58       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:07:08       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:07:18       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:07:28       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:07:38       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:07:48       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:07:58       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:08:08       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:08:18       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
