#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260813    16:30:12       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:30:22       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:30:32       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:30:42       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:30:52       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:31:02       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:31:12       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:31:22       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:31:32       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:31:42       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:31:52       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:32:02       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:32:12       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:32:22       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:32:32       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:32:42       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:32:52       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:33:02       1     56     27     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:33:12       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:33:22       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:33:32       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:33:42       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:33:52       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:34:02       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:34:12       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:34:22       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:34:32       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:34:42       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:34:52       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:35:02       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:35:12       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:35:22       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:35:32       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:35:42       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:35:52       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:36:02       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:36:12       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:36:22       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:36:32       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:36:42       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:36:52       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:37:02       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:37:12       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:37:22       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
