#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260813    15:34:24       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:34:34       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:34:44       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:34:54       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:35:05       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:35:15       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:35:25       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:35:35       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:35:45       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:35:55       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:36:05       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:36:15       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:36:25       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:36:35       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:36:45       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:36:55       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:37:05       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:37:15       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:37:25       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:37:35       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:37:45       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:37:55       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:38:05       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:38:15       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:38:25       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:38:35       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:38:45       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:38:55       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:39:05       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:39:15       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:39:25       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:39:35       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:39:45       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:39:55       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:40:05       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:40:15       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:40:25       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:40:35       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:40:45       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:40:55       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:41:05       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:41:15       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:41:25       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:41:35       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260813    15:41:45       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:41:55       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:42:05       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:42:15       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:42:25       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:42:35       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:42:45       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:42:55       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:43:05       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:43:15       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:43:25       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:43:35       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:43:45       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:43:55       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:44:05       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:44:15       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:44:25       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:44:35       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:44:45       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:44:55       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:45:05       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:45:15       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:45:25       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:45:35       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
